permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
5.0,3,1,3.625,1.9333,2.65,1.524,29.0,0.035,31.9,2.234,-12.572,1.4686,1.4686,-3.8869
3.6,3,1,7.25,5.8,3.74,1.6764,29.0,0.035,31.9,2.736,-37.073,3.2943,3.2943,-2.6935
4.3,3,1,7.25,5.8,3.3,1.6764,29.0,0.035,31.9,2.51,-39.825,2.7396,2.7396,-2.9431
5.0,3,1,7.25,5.8,2.915,1.6764,29.0,0.035,31.9,2.33,-42.756,2.2937,2.2937,-3.1318
3.6,3,1,3.625,5.8,3.74,1.6764,29.0,0.035,31.9,2.682,-10.815,2.7902,2.7902,-3.2346
4.3,3,1,3.625,5.8,3.3,1.6764,29.0,0.035,31.9,2.46,-11.416,2.3109,2.3109,-3.3827
5.0,3,1,3.625,5.8,2.915,1.6764,29.0,0.035,31.9,2.286,-12.369000000000002,1.9223,1.9223,-3.4959
3.6,3,1,7.25,1.9333,3.74,1.6764,29.0,0.035,31.9,2.648,-14.267,2.974,2.974,-2.9573
4.3,3,1,7.25,1.9333,3.3,1.6764,29.0,0.035,31.9,2.428,-14.529000000000002,2.4271,2.4271,-3.1919
5.0,3,1,7.25,1.9333,2.915,1.6764,29.0,0.035,31.9,2.254,-15.395,1.9717,1.9717,-3.375
3.6,3,1,3.625,1.9333,3.74,1.6764,29.0,0.035,31.9,2.614,-10.206,2.4952,2.4952,-3.4615
