speed of light,permittivity,patch_length,patch_width,substrate_height,feed_depth,feed_gap_width,resonance,s11,realized_gain,l3vertical,l3horizontal
299792458000.0,4.3,0.85,0.9,0.07,0.047222,0.028333,82050000000.0,-13.186,2.4485,2.4485,-3.1828
299792458000.0,4.3,0.85,0.9,0.09,0.28333,0.255,89100000000.0,-17.988,3.7375,3.7375,-1.7373
299792458000.0,4.3,0.85,0.9,0.09,0.14167000000000002,0.255,86500000000.0,-10.524,3.2036,3.2036,-2.4512
299792458000.0,4.3,0.85,0.9,0.09,0.047222,0.255,83000000000.0,-9.9934,2.8679,2.8679,-2.753
299792458000.0,4.3,0.85,0.9,0.09,0.28333,0.085,84000000000.0,-17.412,3.5555,3.5555,-1.9477
299792458000.0,4.3,0.85,0.9,0.09,0.14167000000000002,0.085,82400000000.0,-10.887,2.9149,2.9149,-2.6639
299792458000.0,4.3,0.85,0.9,0.09,0.047222,0.085,81350000000.0,-10.316,2.7155,2.7155,-2.8741
299792458000.0,4.3,0.85,0.9,0.09,0.28333,0.028333,82750000000.0,-12.285,3.1911,3.1911,-2.3602
299792458000.0,4.3,0.85,0.9,0.09,0.14167000000000002,0.028333,81800000000.0,-10.404000000000002,2.8561,2.8561,-2.7228
299792458000.0,4.3,0.85,0.9,0.09,0.047222,0.028333,81400000000.0,-10.013,2.7515,2.7515,-2.8379
299792458000.0,4.3,0.85,1.0,0.05,0.28333,0.255,87500000000.0,-6.73,-0.7353,-0.7353,-6.4448
299792458000.0,4.3,0.85,1.0,0.05,0.14167000000000002,0.255,87300000000.0,-33.238,2.5213,2.5213,-3.5475
